ID,N_VICTIMAS,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,COMUNA,pos x,pos y,VICTIMA,ACUSADO
2020-0001,1,2020,1,4,10,URIARTE Y LOYOLA,CALLE,URIARTE,15,-58.43910409,-34.59213355,PEATON,AUTO
2020-0002,1,2020,1,5,20,SARAZA Y VARELA AV.,AVENIDA,SARAZA,7,-58.45019436,-34.64646409,MOTO,OBJETO FIJO
2020-0003,1,2020,1,11,6,RIVADAVIA AV. Y COMBATE DE LOS POZOS,AVENIDA,RIVADAVIA AV.,3,-58.39337644,-34.60927582,PEATON,AUTO
2020-0004,1,2020,1,14,21,RODRIGUEZ PEÑA Y RIVADAVIA AV.,AVENIDA,RODRIGUEZ PE?A,1,-58.39055614,-34.60919284,PEATON,PASAJEROS
2020-0005,1,2020,1,14,6,24 DE NOVIEMBRE Y SAN JUAN AV.,AVENIDA,24 DE NOVIEMBRE,3,-58.41036975,-34.62477021,MOTO,PASAJEROS
2020-0006,1,2020,1,20,12,LAFUENTE AV. 2250,AVENIDA,LAFUENTE AV.,8,-58.44925765,-34.65412546,MOTO,CARGAS
2020-0007,1,2020,1,27,0,CHILE Y LIMA ,CALLE,CHILE,1,-58.38156850,-34.61648696,PEATON,MOTO
2020-0008,1,2020,1,30,7,CORDOBA AV. Y JEAN JAURES,AVENIDA,CORDOBA AV.,2,-58.40662899,-34.59804521,MOTO,CARGAS
2020-0009,1,2020,2,4,14,"PERON, JUAN DOMINGO, TTE. GENERAL Y SALGUERO, JERONIMO",CALLE,"PERON, JUAN DOMINGO, TTE. GENERAL",5,-58.41985649,-34.60600850,PEATON,AUTO
2020-0010,1,2020,2,8,5,9 DE JULIO AV. Y SAN JUAN AV.,AVENIDA,9 DE JULIO AV.,1,-58.38099833,-34.62214953,MOTO,OBJETO FIJO
2020-0011,1,2020,2,12,11,COLOMBRES 466,CALLE,COLOMBRES,5,-58.41803309,-34.61823178,MOTO,CARGAS
2020-0012,1,2020,2,18,21,MEXICO 2860,CALLE,MEXICO,3,-58.40604003,-34.61783553,PEATON,MOTO
2020-0013,1,2020,2,20,12,COMBATIENTES DE MALVINAS AV. Y TRIUNVITARO AV.,AVENIDA,COMBATIENTES DE MALVINAS AV.,15,-58.47549929,-34.57994061,PEATON,MOTO
2020-0014,1,2020,2,27,2,BERMUDEZ Y NOGOYA,CALLE,BERMUDEZ,11,-58.51398484,-34.61600366,MOTO,PASAJEROS
2020-0015,1,2020,2,28,14,BRASIL AV. Y PASEO COLON AV.,AVENIDA,BRASIL AV.,1,-58.36797542,-34.62519403,MOTO,PASAJEROS
2020-0016,1,2020,2,29,13,"ALEM,LEANDRO N. AV. 770",AVENIDA,"ALEM, LEANDRO N. AV.",1,-58.37133616,-34.59879316,PEATON,PASAJEROS
2020-0017,1,2020,3,5,23,BELGRANO AV. Y RINCON,AVENIDA,BELGRANO AV.,3,-58.39613805,-34.61413568,PEATON,AUTO
2020-0018,1,2020,3,9,14,"UDAONDO, GUILLERMO AV. 901",AVENIDA,"UDAONDO, GUILLERMO AV.",13,-58.44903073,-34.54200276,MOTO,OBJETO FIJO
2020-0019,1,2020,3,10,21,CONSTITUCION Y CASTRO,CALLE,CONSTITUCION,5,-58.41972364,-34.62846670,PEATON,AUTO
2020-0020,1,2020,3,13,17,"PUEYRREDON AV. Y GOMEZ, VALENTIN",AVENIDA,PUEYRREDON AV.,3,-58.40571596,-34.60557123,PEATON,MOTO
2020-0021,1,2020,3,14,16,"BRAVO, MARIO 1279",CALLE,"BRAVO, MARIO",2,-58.41451590,-34.59488319,PEATON,AUTO
2020-0022,1,2020,4,7,6,"DELLEPIANE, LUIS, TTE. GRAL. Y ESCALADA AV.",AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9,-58.47297505,-34.66245085,AUTO,CARGAS
2020-0023,1,2020,4,9,18,"ARAOZ DE LAMADRID, GREGORIO, GRAL. Y BROWN, ALTE. AV.",AVENIDA,"ARAOZ DE LAMADRID, GREGORIO, GRAL.",4,-58.35791192,-34.63695178,AUTO,CARGAS
2020-0024,1,2020,4,24,7,MURGUIONDO 1339,CALLE,MURGUIONDO,9,-58.50801713,-34.65177305,AUTO,AUTO
2020-0025,1,2020,5,12,5,RIVADAVIA AV. 2551,AVENIDA,RIVADAVIA AV.,3,-58.40258477,-34.60975108,PEATON,AUTO
2020-0026,1,2020,5,17,6,"LUGONES, LEOPOLDO AV. KM 6,1",AUTOPISTA,"LUGONES, LEOPOLDO AV.",14,.,.,MOTO,OBJETO FIJO
